Date,Date_format,Rol,Area,Sensor,Downloaded,Backup stage,Notes,plan,stage,shared_Mrgt/involved,Julia,GCP,GS_grande,L1,temp_download,check,extract?,,nu7
161026,26/10/2016,fis,710,RGB,,auto (DS),mosaico Fis necesita ajuste por desfase. Hap ya Ajustado,,dsm & mosaic,1,,1,,,,q161026710,,,
161128,28/11/2016,bw_,oct,miniMCA,1,auto (DS),"microtops 5 h vuelo quedan, light clouds",ae_bw_oct_M,1,,,,,,,q161128oct,,,
161215,15/12/2016,fis,710,RGB,,dropbox/on the laptop,ajusté desface en el mosaico que está en Dropbox. La copia local en PC ajusté directo a la imagen enero 27. Sumé 0.35m porque salía debajo del DTM,,dsm & mosaic,1,,1,,,1,q161215710,,,
170107,07/01/2017,fis,hap,sequoia,1,,,,reflectance & NDVI,,,1,,,,q170107hap,,,
170107,07/01/2017,fis,hap,RGB,1,auto (DS),,,dsm & mosaic,1,,1,,,1,q170107hap,,,
170104,04/01/2017,nut,fx1,no,,,,,,,,,1,,,q170104fx1,,,
170109,09/01/2017,nut,fx2,sequoia,1,auto (DS),,ae_nut_jf2_Q,ndvi,,,1,1,,,q170109fx2,,,
170109,09/01/2017,nut,po5,sequoia,1,dropbox/AE,,ae_nut_po5_Q,ndvi,,,1,1,,,q170109po5,,,
170110,10/01/2017,bw_,810,FLIR,1,,,ae_bw_810_T,pix?,1,,,,,,q170110810,,,
170110,10/01/2017,frz,esc,FLIR,1,,,ae_frz_esc_T,celsius mosaic,1,,1,,,,q170110esc,1,,
170110,10/01/2017,frz,ros,FLIR,1,,,,celsius mosaic,,,1,,,,q170110ros,1,,
170110,10/01/2017,frz,ser,FLIR,1,,,,celsius mosaic,,,1,,,,q170110ser,1,,
170110,10/01/2017,bw_,810,HYPEr,1,auto (DS),irradiance from microtops,ae_bw_810_H,rfl_spr_ort,,,,,SOME DRIp PLOTS NOT COVERED,,q170110810,,,
170110,10/01/2017,frz,esc,HYPEr,1,auto (DS),irradiance from microtops,ae_frz_esc_H,rfl_spr_ort_geo,,,1,,,,q170110esc,1,,
170110,10/01/2017,frz,ros,HYPEr,1,auto (DS),irradiance from microtops,,rfl_spr_ort_geo,,,1,,,,q170110ros,1,,
170110,10/01/2017,frz,ser,HYPEr,1,auto (DS),irradiance from microtops,,rfl_spr_ort_geo,,,1,,,,q170110ser,1,,
170110,10/01/2017,nut,poc,miniMCA,1,auto (DS),,ae_nut_poc_M,ndvi,,,1,,,,m170110poc,,,
170110,10/01/2017,nut,fx2,miniMCA,1,auto (DS),,ae_nut_jf2_M,ndvi,,,1,,,,m170110fx2,,,
170110,10/01/2017,nut,po5,miniMCA,1,auto (DS),,ae_nut_po5_M,ndvi,,,1,,,,m170110po5,,,
170110,10/01/2017,nut,po4,miniMCA,1,auto (DS),,ae_nut_po4_M,ndvi,,,1,,,,m170110po4,,,
170110,10/01/2017,nut,poc,sequoia,1,dropbox/AE,,ae_nut_poc_Q,ndvi,,,1,1,,,q170110poc,,,
170112,12/01/2017,nut,val,sequoia,1,on the laptop,on the laptop & Dropbox AE,ae_nut_val_Q,ndvi,,,1,0,,,q170112val,,,
170112,12/01/2017,nut,tyc,sequoia,1,on the laptop,on the laptop & Dropbox AE,ae_nut_tyc_Q,ndvi,,,1,0,,,q170112tyc,,,
170113,13/01/2017,nut,ae1,sequoia,1,,"too small weat. We repeated later. bat11, 65% 11.5v 11min",,,,,0,0,,,q170113ae1,,,
170117,17/01/2017,frz,esc,FLIR,1,auto (DS),clouds on the image,ae_frz_esc_T,celsius mosaic,,,1,,,,q170117esc,1,,
170117,17/01/2017,frz,ros,FLIR,1,auto (DS),clouds on the image,,pno,,,,,,,q170117ros,0,,
170117,17/01/2017,frz,ser,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170117ser,1,,
170117,17/01/2017,bw_,810,FLIR,1,auto (DS),,ae_bw_810_T,pix?,1,,,,,,q170117810,,,
170117,17/01/2017,frz,esc,HYPEr,1,auto (DS),clouds on the image,ae_frz_esc_H,bsq,,,-,,,,q170117esc,0,,
170117,17/01/2017,frz,ros,HYPEr,1,auto (DS),clouds on the image,,bsq,,,-,,,,q170117ros,0,,
170117,17/01/2017,frz,ser,HYPEr,1,auto (DS),,,rfl_spr_ort_geo,,,1,,,,q170117ser,1,,
170117,17/01/2017,bw_,810,HYPEr,1,auto (DS),,ae_bw_810_H,rfl_spr_ort,,,,,SOME DRIp PLOTS NOT COVERED,,q170117810,,,
170119,19/01/2017,nut,ae1,sequoia,1,dropbox/AE,"clouds, wind to W 3.5m/s, batt12 61% 11.3v 11.5min",ae_nut_ae1_Q,ndvi,,,1,1,,,q170119ae1,,,
170123,23/01/2017,bw_,810,FLIR,1,auto (DS),,ae_bw_810_T,pix?,1,,,,,,q170123810,,,
170123,23/01/2017,frz,esc,FLIR,1,auto (DS),,ae_frz_esc_T,celsius mosaic,,,1,,,,q170123esc,1,,
170123,23/01/2017,frz,ros,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170123ros,1,,
170123,23/01/2017,frz,ser,FLIR,1,auto (DS),,ae_fis_710_R,celsius mosaic,,,1,,,,q170123ser,1,,
170123,23/01/2017,bw_,810,HYPEr,1,auto (DS),,ae_bw_810_H,rfl_spr_ort,,,,,SOME DRIp PLOTS NOT COVERED,,q170123810,,,
170123,23/01/2017,frz,esc,HYPEr,1,auto (DS),,ae_frz_esc_H,rfl_spr_ort_geo,,,1,,,,q170123esc,1,,
170123,23/01/2017,frz,ros,HYPEr,1,auto (DS),,ae_fis_hap_Q,rfl_spr_ort_geo,,,1,,,,q170123ros,1,,
170123,23/01/2017,frz,ser,HYPEr,1,auto (DS),,,rfl_spr_ort_geo,,,1,,,,q170123ser,1,,
170123,23/01/2017,fis,hap,RGB,1,on the laptop,"clear, low wind N",ae_fis_710_R,dsm & mosaic,1,,1,,,1,q170123hap,,,
170123,23/01/2017,fis,hap,sequoia,1,,"clear, low wind N",ae_fis_hap_Q,reflectance & NDVI,,,1,,,,q170123hap,,,
170123,23/01/2017,nut,ae2,miniMCA,1,dropbox/AE,"clouds around and wind, inverted drives 2 and 4 so they have wrong exposition time",,ndvi,,,1,,,,m170123ae2,,,
170125,25/01/2017,fis,hap,RGB,1,on the laptop,,,dsm & mosaic,1,,1,,,1,q170125hap,,,
170125,25/01/2017,fis,hap,sequoia,1,,,,reflectance & NDVI,,,1,,,,q170125hap,,,
170125,25/01/2017,nut,ae2,sequoia,1,,,,ndvi,,,1,1,,,q170125ae2,,,
170126,26/01/2017,nut,sa1,sequoia,1,dropbox/AE,"clouds, wind to W 5m/s",,ndvi,,,1,1,,,q170126sa1,,,
170127,27/01/2017,fis,hap,RGB,1,on the laptop,DSM has bad artifacts. Due to low overlapp? Was very windy,ae_fis_710_R,dsm & mosaic,1,,1,,,1,q170127hap,,,
170127,27/01/2017,fis,hap,sequoia,1,,,ae_fis_hap_Q,reflectance & NDVI,,,1,,,,q170127hap,,,
170130,30/01/2017,ceb,ofi,RGB,1,,"Respaldo raw data en disco externo ADATA ""A 2017"". oficinas cebeb",,mosaico,,,,,,,q170130ofi,,,
170131,31/01/2017,nut,ma1,sequoia,1,on the laptop,"proyecto en pc, nubes",,ndvi,,,0,1,,,q170131ma1,,,
170201,01/02/2017,nut,coc,sequoia,1,on the laptop,"mosaico en PC, claro",,ndvi,,,1,1,,,q170201coc,,,
170201,01/02/2017,nut,d16,sequoia,1,on the laptop,"Block1216, mosaico en PC, claro",,ndvi,,,1,1,,,q170201d16,,,
170201,01/02/2017,nut,po5,sequoia,1,on the laptop,"mosaico en PC, claro",,ndvi,,,1,1,,,q170201po5,,,
170202,02/02/2017,bw_,810,FLIR,1,auto (DS),,ae_bw_810_T,pix?,1,,,,,,q170202810,,,
170202,02/02/2017,frz,esc,FLIR,1,auto (DS),,ae_frz_esc_T,celsius mosaic,,,1,,,,q170202esc,1,,
170202,02/02/2017,frz,ros,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170202ros,1,,
170202,02/02/2017,frz,ser,FLIR,1,auto (DS),,ae_fis_710_R,celsius mosaic,,,1,,,,q170202ser,1,,
170202,02/02/2017,bw_,810,HYPEr,1,auto (DS),,ae_bw_810_H,rfl_spr_ort,,,,,SOME DRIp PLOTS NOT COVERED,,q170202810,,,
170202,02/02/2017,frz,esc,HYPEr,1,auto (DS),,ae_frz_esc_H,rfl_spr_ort_geo,,1,1,,,,q170202esc,1,,
170202,02/02/2017,frz,ros,HYPEr,1,auto (DS),,ae_fis_hap_Q,rfl_spr_ort_geo,,1,1,,,,q170202ros,1,,
170202,02/02/2017,frz,ser,HYPEr,1,auto (DS),,,rfl_spr_ort_geo,,1,1,,,,q170202ser,1,,
170202,02/02/2017,nut,ole,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170202ole,,,
170202,02/02/2017,nut,521,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170202521,,,
170202,02/02/2017,nut,pad,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170202pad,,,
170203,03/02/2017,nut,ole,sequoia,1,on the laptop/dropboxAE,junto ole y pad,,ndvi,,,1,1,,,q170203ole,,,
170203,03/02/2017,nut,pad,sequoia,1,on the laptop/dropboxAE,junto ole y pad,,ndvi,,,1,1,,,q170203pad,,,
170203,03/02/2017,nut,111,sequoia,1,auto (DS),,,ndvi,,,0,0,,,q170203111,,,
170202,02/02/2017,nut,710,sequoia,1,,,,,,,0,,,,q170202710,,,
170207,07/02/2017,ceb,ce1,NIR,1,,"Respaldo en disco externo ADATA ""A 2017""",,,,,,,,,q170207ce1,,,
170207,07/02/2017,ceb,ce2,NIR,1,,"Respaldo en disco externo ADATA ""A 2017""",,,,,,,,,q170207ce2,,,
170207,07/02/2017,nut,fx1,sequoia,1,auto (DS),,,ndvi,,,1,0,,,q170207fx1,,,
170207,07/02/2017,nut,fx2,sequoia,1,on the laptop/dropboxAE,,,ndvi,,,1,1,,,q170207fx2,,,
170210,10/02/2017,bw_,810,FLIR,1,auto (DS),,,pix?,1,,,,,,q170210810,,,pedacito sur
170210,10/02/2017,frz,esc,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170210esc,1,,
170210,10/02/2017,frz,ros,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170210ros,1,,
170210,10/02/2017,frz,ser,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170210ser,1,,
170210,10/02/2017,bw_,810,HYPEr,1,auto (DS),paneles referencia,,rfl_spr_ort,,,,,SOME DRIp PLOTS NOT COVERED,,q170210810,,,
170210,10/02/2017,frz,esc,HYPEr,1,auto (DS),,,rfl_spr_ort_geo,,1,1,,,,q170210esc,1,,
170210,10/02/2017,frz,ros,HYPEr,1,auto (DS),,,rfl_spr_ort_geo,,1,1,,,,q170210ros,1,,
170210,10/02/2017,frz,ser,HYPEr,1,auto (DS),,,rfl_spr_ort_geo,,,1,,,,q170210ser,1,,
170210,10/02/2017,nut,fx2,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170210fx2,,,
170210,10/02/2017,fis,710,RGB,1,on the laptop,,,dsm & mosaic,1,,1,,,,q170210710,,,
170210,10/02/2017,fis,hap,RGB,1,on the laptop,,,dsm & mosaic,1,,1,,,1,q170210hap,,,
170211,11/02/2017,nut,po5,sequoia,1,on the laptop,copiado al PC proyecto. sin biomasa?,,ndvi,,,1,0,,,q170211po5,,,
170211,11/02/2017,nut,coc,sequoia,1,on the laptop,copiado al PC proyecto.,,ndvi,,,1,1,,,q170211coc,,,
170211,11/02/2017,nut,d16,sequoia,1,on the laptop,"Block1216,copiado al PC proyecto.  sin biomasa?",,ndvi,,,1,0,,,q170211d16,,,
170213,13/02/2017,fis,hap,RGB,1,on the laptop/ADATA A2017,,,dsm & mosaic,1,,1,,,1,q170213hap,,,
170213,13/02/2017,fis,hap,sequoia,1,,,,reflectance & NDVI,,,1,,,,q170213hap,,,
170215,15/02/2017,fis,hap,RGB,1,on the laptop/ADATA A2017,,,dsm & mosaic,1,,1,,,1,q170215hap,,,
170215,15/02/2017,frz,ser,RGB,1,,,,mosaico,,,1,,,,q170215ser,1,,
170215,15/02/2017,fis,hap,sequoia,1,,,,reflectance & NDVI,,,1,,,,q170215hap,,,
170216,16/02/2017,bw_,810,FLIR,1,auto (DS),,ae_bw_810_T,pix?,1,,,,,,q170216810,,,pedacitito al este
170216,16/02/2017,frz,esc,FLIR,1,auto (DS),,ae_frz_esc_T,celsius mosaic,,,1,,,,q170216esc,1,,pedacitito al este
170216,16/02/2017,frz,ser,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170216ser,1,,pedacitito al este
170216,16/02/2017,bw_,810,HYPEr,1,auto (DS),"nubes alrededor, jaz_bw",ae_bw_810_H,rfl_spr_ort,,,,,SOME DRIp PLOTS NOT COVERED,,q170216810,,,pedacitito al este
170216,16/02/2017,frz,esc,HYPEr,1,auto (DS),"nubes cerca,jaz_stars",ae_frz_esc_H,rfl_spr_ort_geo,,,1,,,,q170216esc,1,,pedacitito al este
170216,16/02/2017,frz,ser,HYPEr,1,auto (DS),"nubes alrededor,jaz_stars",,rfl_spr_ort_geo,,,1,,,,q170216ser,1,,pedacitito al este
170220,20/02/2017,frz,ros,NIR,1,,no RTK,,mosaico,,,…,,,,q170220ros,1,,pedacitito al este
170220,20/02/2017,fis,hap,RGB,1,on the laptop/ADATA A2017,,,dsm & mosaic,1,,1,,,1,q170220hap,,,pedacitito al este
170220,20/02/2017,fis,710,RGB,1,on the laptop/ADATA A2017,,,dsm & mosaic,1,,1,,,,q170220710,,,pedacitito al este
170220,20/02/2017,fis,hap,sequoia,1,,,,reflectance & NDVI,,,1,,,,q170220hap,,,pedacitito al este
170221,21/02/2017,nut,po5,sequoia,1,on the laptop,copiado al PC,,ndvi,,,1,1,,,q170221po5,,,pedacitito al este
170221,21/02/2017,nut,coc,sequoia,1,on the laptop,copiado al PC,,ndvi,,,1,1,,,q170221coc,,,pedacitito al este
170221,21/02/2017,nut,d16,sequoia,1,on the laptop,"Block1216,copiado al PC",,ndvi,,,1,1,,,q170221d16,,,pedacitito al este
170222,22/02/2017,bw_,810,FLIR,1,auto (DS),,,pix?,1,,,,,,q170222810,,,pedacitito al este
170222,22/02/2017,frz,esc,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170222esc,1,,
170222,22/02/2017,frz,ros,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170222ros,1,,
170222,22/02/2017,frz,ser,FLIR,1,auto (DS),,,celsius mosaic,,,1,,,,q170222ser,1,,
170222,22/02/2017,bw_,810,HYPEr,1,auto (DS),"despejado, jaz_170222",,rfl_spr_ort,0,,,,SOME DRIp PLOTS NOT COVERED,,q170222810,,,
170222,22/02/2017,frz,esc,HYPEr,1,auto (DS),"despejado, jaz_170222",,rfl_spr_ort_geo,,1,1,,,,q170222esc,1,,
170222,22/02/2017,frz,ros,HYPEr,1,auto (DS),"despejado, jaz_170222",,rfl_spr_ort_geo,,,1,,,,q170222ros,1,,
170222,22/02/2017,frz,ser,HYPEr,1,auto (DS),"despejado, jaz_170222",,rfl_spr_ort_geo,,1,1,,,,q170222ser,1,,
170222,22/02/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170222521&230,,,
170222,22/02/2017,fis,hap,RGB,1,on the laptop/ADATA A2017,,,dsm & mosaic,1,,1,,,1,q170222hap,,,
170227,27/02/2017,frz,esc,RGB,1,,no RTK,,mosaico,,,…,,,,q170227esc,1,,
170301,01/03/2017,nut,sa1,sequoia,1,on the laptop,copiado al pc el mosaico. cirrus,,ndvi,,,1,1,,,q170301sa1,,,
170301,01/03/2017,nut,sa2,sequoia,1,on the laptop,copiado proyecto al pc. cirrus,,ndvi,,,1,1,,,q170301sa2,,,
170302,02/03/2017,nut,cas,sequoia,1,dropbox/AE,,,ndvi,,,1,1,,,q170302cas,,,
170302,02/03/2017,nut,521&230,sequoia,1,dropbox/AE,,,ndvi,,,1,,,,q170302521&230,,,
170302,02/03/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170302521&230,,,
170308,08/03/2017,fis,hap,RGB,1,on the laptop/ADATA A2017,clouds,,dsm & mosaic,1,,1,,,1,q170308hap,,,
170310,10/03/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170310521&230,,,
170310,10/03/2017,nut,521&230,sequoia,1,dropbox/AE,,,ndvi,,,1,,,,q170310521&230,,,
170310,10/03/2017,bw_,810,FLIR,1,,,,pix?,1,,,,,,q170310810,,,
170310,10/03/2017,frz,ros,FLIR,1,,,,celsius mosaic,,,1,,,,q170310ros,1,,
170310,10/03/2017,frz,ser,FLIR,1,,,,celsius mosaic,,,1,,,,q170310ser,1,,
170310,10/03/2017,frz,ros,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170310ros,1,,
170310,10/03/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170310ser,1,,
170313,13/03/2017,nut,po5,sequoia,1,on the laptop,,,ndvi,,,1,1,,,q170313po5,,,
170313,13/03/2017,nut,coc,sequoia,1,on the laptop,copiado mosaico al pc,,ndvi,,,1,1,,,q170313coc,,,
170313,13/03/2017,nut,d16,sequoia,1,on the laptop,"Block1216,copiado mosaico al pc",,ndvi,,,1,1,,,q170313d16,,,
170315,15/03/2017,bw_,810,FLIR,1,,,,pix?,1,,,,SOME DRIp PLOTS NOT COVERED,,q170315810,,,
170315,15/03/2017,frz,esc,FLIR,1,,,,celsius mosaic,,,1,,,,q170315esc,1,,
170315,15/03/2017,frz,ros,FLIR,1,,,,celsius mosaic,,,1,,,,q170315ros,1,,
170315,15/03/2017,frz,ser,FLIR,1,,,,celsius mosaic,,,1,,,,q170315ser,1,,
170315,15/03/2017,bw_,810,HYPEr,1,,,,rfl_spr_ort,0,,,,,,q170315810,,,
170315,15/03/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170315esc,1,,
170315,15/03/2017,frz,ros,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170315ros,1,,
170315,15/03/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170315ser,1,,
170315,15/03/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170315521&230,,,
170315,15/03/2017,nut,521&230,sequoia,1,dropbox/AE,,,ndvi,-,,1,,,,q170315521&230,,,
170324,24/03/2017,est,bw3,RGB,1,,"Respaldo raw data en disco externo ADATA ""A 2017"". despejado",,pix,-,,rtk 521,,,,q170324bw3,,,
170324,24/03/2017,est,bw4,RGB,1,,"Respaldo raw data en disco externo ADATA ""A 2017"". despejado",,pix,-,,rtk 521,,,,q170324bw4,,,
170329,29/03/2017,bw_,810,FLIR,1,,,,pix?,1,,,,,,q170329810,,,parte superior
170329,29/03/2017,frz,esc,FLIR,1,,,,celsius mosaic,-,,1,,,,q170329esc,1,,
170329,29/03/2017,frz,ros,FLIR,1,,,,celsius mosaic,-,,1,,,,q170329ros,1,,
170329,29/03/2017,frz,ser,FLIR,1,,,,celsius mosaic,-,,1,,,,q170329ser,1,,
170329,29/03/2017,sed,sed,FLIR,1,,,,celsius mosaic,,,1,,,,q170329sed,,,
170329,29/03/2017,bw_,810,HYPEr,1,,,,rfl_spr_ort,0,,,,"SOME DRIp PLOTS NOT COVERED, drip not adjusted",,q170329810,,,
170329,29/03/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,-,,1,,,,q170329esc,1,,
170329,29/03/2017,frz,ros,HYPEr,1,,,,rfl_spr_ort_geo,-,,1,,,,q170329ros,1,,
170329,29/03/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,-,,1,,,,q170329ser,1,,
170329,29/03/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,-,,1,,,,m170329521&230,,,
170329,29/03/2017,sed,sed,miniMCA,1,,,,mosaico,-,,1,,,,q170329sed,,,
170330,30/03/2017,fis,hap,RGB,1,on the laptop/ADATA A2017,"there was an issue with the datum in pix 4D. I rested 32.316 m to get the plant height, but it looks some cm lower than the previous date.",,dsm & mosaic,1,,1,,,1,q170330hap,,,
170330,30/03/2017,fis,hap,sequoia,1,,,,reflectance & NDVI,1,,1,,,,q170330hap,,,
170403,03/04/2017,nut,po5,sequoia,1,on the laptop,proyecto copiado a PC,,pix…,,,0,1,,,q170403po5,,,
170403,03/04/2017,nut,coc,sequoia,1,on the laptop,proyecto copiado a PC,,ndvi,,,1,1,,,q170403coc,,,
170403,03/04/2017,nut,d16,sequoia,1,on the laptop,"Block1216,mosaico copiado a PC",,ndvi,,,1,1,,,q170403d16,,,
170405,05/04/2017,bw_,810,FLIR,1,,,,pix?,1,,,,,,q170405810,,,
170405,05/04/2017,frz,esc,FLIR,1,,,,celsius mosaic,,,1,,,,q170405esc,1,,
170405,05/04/2017,frz,ros,FLIR,1,,,,celsius mosaic,,,1,,,,q170405ros,1,,
170405,05/04/2017,frz,ser,FLIR,1,,,,celsius mosaic,,,1,,,,q170405ser,1,,
170405,05/04/2017,bw_,810,HYPEr,1,,checar pasadas extras,,rfl_spr_ort,0,,,,"SOME DRIp PLOTS NOT COVERED, drip not adjusted nor october area",,q170405810,,,
170405,05/04/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170405esc,1,,
170405,05/04/2017,frz,ros,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170405ros,1,,
170405,05/04/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170405ser,1,,
170405,05/04/2017,nut,521&230,miniMCA,1,auto (DS),,,ndvi,,,1,,,,m170405521&230,,,
170406,06/04/2017,nut,521&230,sequoia,1,dropbox/AE,,,ndvi,,,1,,,,q170406521&230,,,
170411,11/04/2017,bw_,810,FLIR,1,,out of focus,,tif,-,,,,,,q170411810,,,
170411,11/04/2017,frz,esc,FLIR,1,,,,celsius mosaic,-,,1,,,,q170411esc,1,,
170411,11/04/2017,bw_,810,HYPEr,1,,,,rfl_spr_ort,0,,,,"SOME DRIp PLOTS NOT COVERED, drip not adjusted nor october area, nor 2 IR",,q170411810,,,
170411,11/04/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,-,,1,,,,q170411esc,1,,
170411,11/04/2017,sed,sed,miniMCA,1,,,,mosaico,-,,1,,,,q170411sed,,,
170411,11/04/2017,sed,sed,FLIR,1,,"out of focus, 20cm",,tif,-,,,,,,q170411sed,,,
170411,11/04/2017,bw_,hea,miniMCA,1,,,,ndvi,0,,1,,,,q170411hea,,,
170411,11/04/2017,bw_,hea,FLIR,1,,"out of focus, 20cm",,tif,0,,,,,,q170411hea,,,
170418,18/04/2017,frz,esc,FLIR,1,,,,celsius mosaic,,,1,,,,q170418esc,1,,
170418,18/04/2017,frz,ros,FLIR,1,,,,celsius mosaic,,,1,,,,q170418ros,1,,
170418,18/04/2017,frz,ser,FLIR,1,,,,celsius mosaic,,,1,,,,q170418ser,1,,
170418,18/04/2017,sed,sed,FLIR,1,,,,celsius mosaic,,,1,,,,q170418sed,,,
170418,18/04/2017,frz,esc,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170418esc,1,,
170418,18/04/2017,frz,ros,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170418ros,1,,
170418,18/04/2017,frz,ser,HYPEr,1,,,,rfl_spr_ort_geo,,,1,,,,q170418ser,1,,
170426,26/04/2017,sed,sed,FLIR,1,,,,celsius mosaic,,,1,,,,q170426sed,,,
170426,26/04/2017,sed,sed,miniMCA,1,,,,mosaico,,,1,,,,q170426sed,,,
170426,26/04/2017,bw_,sed,FLIR,1,,también bw heat salió en la foto,,pno…,,,,,,,q170426sed,,,
170502,02/05/2017,bw_,hea,FLIR,1,,,,cel,,,,,ok,,q170502hea,,,
170502,02/05/2017,bw_,hea,HYPEr,1,,,,rfl_spr_ort,,,,,ok,,q170502hea,,,
170511,11/05/2017,sed,sed,FLIR,,,,,celsius mosaic,,,1,,,,q170511sed,,,
170511,11/05/2017,sed,sed,miniMCA,1,,,,mosaico,,,1,,,,q170511sed,,,
170511,11/05/2017,bw_,hea,FLIR,,,,,cel,,,,,ok,,q170511hea,,,
170511,11/05/2017,bw_,hea,HYPEr,,,,,capture error,,,,,issues,,q170511hea,,,
170512,12/05/2017,bw_,sed,RGB,1,auto (DS),,,mosaico,,,1,,,,q170512sed,,,
170512,12/05/2017,bw_,hea,RGB,1,auto (DS),,,mosaico,,,1,,,,q170512hea,,,
170522,22/05/2017,bw_,hea,FLIR,1,auto (DS),,,cel,,,,,ok,,q170522hea,,,
170522,22/05/2017,bw_,hea,HYPEr,1,auto (DS),"cirrus, Jaz 80 81 82 83",,rfl_spr_ort,,,,,issues,,q170522hea,,,
170531,31/05/2017,bw_,hea,FLIR,,,,,cel,,,,,ok,,q170531hea,,,
170531,31/05/2017,bw_,hea,HYPEr,1,,very windy,,rfl_spr_ort,,,,,issues,,q170531hea,,,
170531,31/05/2017,sed,sed,FLIR,1,,"clear sky, windy",,celsius mosaic,,,1,,,,q170531sed,,,
170531,31/05/2017,sed,sed,miniMCA,1,,"very windy, weeds all around",,mosaico,,,1,,,,q170531sed,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
